,port,description
0,443,"7    Used by HTTP and HTTPS. HTTP servers and their various components are very exposed and often sources of attacks.
Name: Info, dtype: object"
1,53,"4    DNS. Very often used for amplification DDoS attacks.
Name: Info, dtype: object"
2,995,"Series([], Name: Info, dtype: object)"
3,993,"Series([], Name: Info, dtype: object)"
4,587,"Series([], Name: Info, dtype: object)"
5,80,"6    Used by HTTP and HTTPS. HTTP servers and their various components are very exposed and often sources of attacks.
Name: Info, dtype: object"
6,465,"Series([], Name: Info, dtype: object)"
